"state,weekly_earnings,gender"
"ACT,2232.20,person"
"ACT,2305.30,male"
"ACT,2156.90,female"
"AUSTRALIA,2010.00,person"
"AUSTRALIA,2106.40,male"
"AUSTRALIA,1864.10,female"
"NSW,2052.00,person"
"NSW,2158.70,male"
"NSW,1898.00,female"
"NT,1927.00,person"
"NT,2052.20,male"
"NT,1796.90,female"
"QLD,1953.70,person"
"QLD,2023.60,male"
"QLD,1840.80,female"
"SA,1894.10,person"
"SA,1959.70,male"
"SA,1792.20,female"
"TAS,1793.00,person"
"TAS,1805.10,male"
"TAS,1771.10,female"
"VIC,1959.60,person"
"VIC,2049.00,male"
"VIC,1821.30,female"
"WA,2154.70,person"
"WA,2326.80,male"
"WA,1869.80,female"
